"code","temp1997"
"USC00049699",248.791428571429
"USC00049742",258.6
"USC00049781",258.224550898204
"USC00049785",271.120547945205
"USC00049792",250.593567251462
"USC00049822",124.38202247191
"USC00049855",199.592286501377
"USC00049866",193.120547945205
"USC00050109",171.219178082192
"USC00050185",103.097493036212
"USC00050214",167.947945205479
"USC00050263",114.915068493151
"USC00050301",165.099715099715
"USC00050372",123.197260273973
"USC00050454",131.619178082192
"USC00050581",197.368131868132
"USC00050776",142.331506849315
"USC00050797",120.168571428571
"USC00050834",175.605555555556
"USC00050848",174.641095890411
"USC00050945",173.108033240997
"USC00050950",171.522988505747
"USC00051017",167.340101522843
"USC00051020",186.902777777778
"USC00051060",138.452054794521
"USC00051071",135.032876712329
"USC00051121",173.576704545455
"USC00051179",180.236914600551
"USC00051186",90.0054794520548
"USC00051268",200.350684931507
"USC00051294",190.601694915254
"USC00051401",170.060941828255
"USC00051443",158.777472527473
"USC00051458",130.616438356164
"USC00051528",163.457534246575
"USC00051539",188.772602739726
"USC00051547",183.396501457726
"USC00051564",182.630136986301
"USC00051609",141.479452054795
"USC00051660",58.7079889807163
"USC00051681",104.917808219178
"USC00051713",127.585164835165
"USC00051741",189.309090909091
"USC00051772",180.1
"USC00051886",181.637992831541
"USC00051932",143.293172690763
"USC00051939",127.109589041096
"USC00051959",91.8986301369863
"USC00051964",151.471232876712
"USC00051996",177.027548209366
"USC00052184",134.81095890411
"USC00052192",187.381703470032
"USC00052223",85.9016393442623
"USC00052281",105.695890410959
"USC00052286",150.18836565097
"USC00052441",163.679452054795
