State,Year,Ave_Temp
NH,1992,52.89802284
NH,1993,54.23352951
NH,1994,54.16178689
NH,1995,54.67732177
NH,1996,53.3573795
NH,1997,53.57990146
NH,1998,56.8101028
NH,1999,56.76010457
NH,2000,52.6845977
NH,2001,56.30462384
NH,2002,55.28056426
NH,2003,53.21242219
NH,2004,53.86690857
NH,2005,54.87861969
NH,2006,55.51291996
NH,2007,53.84712771
NH,2008,54.33454579
NH,2009,53.49742219
NH,2010,56.05707341
NH,2011,55.46783031
NJ,1992,61.84494757
NJ,1993,63.35567838
NJ,1994,64.10542963
NJ,1995,63.77404033
NJ,1996,62.10162978
NJ,1997,63.24665624
NJ,1998,65.92781764
NJ,1999,65.38524741
NJ,2000,62.68195654
NJ,2001,64.99905486
NJ,2002,65.47964271
NJ,2003,62.06017587
NJ,2004,62.58105977
NJ,2005,64.19812435
NJ,2006,65.79191226
NJ,2007,63.84591994
NJ,2008,63.9744023
NJ,2009,62.37092551
NJ,2010,64.78615228
NJ,2011,63.87940697
NM,1992,66.07462899
NM,1993,66.74388065
NM,1994,68.91321261
NM,1995,68.52865022
NM,1996,69.11269551
NM,1997,66.46041816
NM,1998,68.0740756
NM,1999,68.81699755
NM,2000,69.32152036
NM,2001,68.51571029
NM,2002,68.77366531
NM,2003,69.51342383
NM,2004,66.83983511
NM,2005,68.16296567
NM,2006,68.66824059
NM,2007,67.89630484
NM,2008,67.67290797
NM,2009,68.63382675
NM,2010,67.61980921
NM,2011,68.61456196
NV,1992,64.39970235
NV,1993,61.26278648
NV,1994,64.00467833
NV,1995,63.5055762
NV,1996,64.17740165
NV,1997,63.30054245
NV,1998,61.24357407
NV,1999,64.33491469
NV,2000,64.55958313
NV,2001,64.51051572
NV,2002,64.1761263
NV,2003,65.08950779
NV,2004,63.46380472
NV,2005,62.76489869
NV,2006,63.74345442
NV,2007,64.96577875
NV,2008,63.63020231
NV,2009,63.38167307
NV,2010,61.85445474
NV,2011,62.33516804
NY,1992,55.55400473
NY,1993,56.26083536
NY,1994,56.36043442
NY,1995,56.74656168
NY,1996,55.57723033
NY,1997,55.91355816
NY,1998,59.63932946
NY,1999,58.67169738
NY,2000,55.76233902
NY,2001,58.6699546
NY,2002,58.18664692
NY,2003,55.7266471
NY,2004,56.34913427
NY,2005,57.57908683
NY,2006,58.65032651
NY,2007,57.18725689
NY,2008,57.37317715
NY,2009,56.29589937
NY,2010,58.06271278
NY,2011,58.12082538
OH,1992,59.67715258
OH,1993,60.19548071
OH,1994,61.27466632
OH,1995,60.48099972
OH,1996,59.19994088
OH,1997,59.62441775
OH,1998,63.91596122
OH,1999,63.29020802
OH,2000,60.6042339
OH,2001,62.28163954
OH,2002,62.34812251
OH,2003,59.71568883
OH,2004,60.72357021
OH,2005,61.81160659
OH,2006,62.27478377
OH,2007,62.57038559
OH,2008,60.91928608
OH,2009,60.43989533
OH,2010,61.56826205
OH,2011,61.95442204
OK,1992,71.75317021
OK,1993,70.15842521
OK,1994,72.80309609
OK,1995,72.10056081
OK,1996,72.04977529
OK,1997,70.20932333
OK,1998,74.13000436
OK,1999,73.63697709
OK,2000,72.48466917
OK,2001,72.88117412
OK,2002,71.37209909
OK,2003,72.21330632
OK,2004,71.60760345
OK,2005,72.91049876
OK,2006,75.18782371
OK,2007,70.95829372
OK,2008,71.82232815
OK,2009,71.46411866
OK,2010,72.17701012
OK,2011,69.26074543
OR,1992,61.41126662
OR,1993,57.0919544
OR,1994,60.04803389
OR,1995,58.82810886
OR,1996,58.77058454
OR,1997,58.87852201
OR,1998,58.30003285
OR,1999,58.62134447
OR,2000,58.76091784
OR,2001,59.32240054
OR,2002,59.72824324
OR,2003,60.49332706
OR,2004,59.69845378
OR,2005,59.15607423
OR,2006,59.4214367
OR,2007,59.20724249
OR,2008,58.00116133
OR,2009,58.37910541
OR,2010,57.37373868
OR,2011,56.55199331
PA,1992,59.13732943
PA,1993,60.28336741
PA,1994,60.51513191
PA,1995,60.08719985
PA,1996,58.9585537
PA,1997,59.80512403
PA,1998,63.4163665
PA,1999,62.48191618
PA,2000,60.41393836
PA,2001,61.97063687
PA,2002,62.06388004
PA,2003,58.70834846
PA,2004,60.1472676
PA,2005,61.08736574
PA,2006,61.98940224
PA,2007,60.93130209
PA,2008,60.39306476
PA,2009,59.50302437
PA,2010,61.50353731
PA,2011,61.24335914
RI,1992,58.71639344
RI,1993,59.96164384
RI,1994,60.25194521
RI,1995,60.32657534
RI,1996,58.78244005
RI,1997,59.62564384
RI,1998,62.07216438
RI,1999,62.53342466
RI,2000,59.7904918
RI,2001,61.71775342
RI,2002,61.62487671
RI,2003,58.99079452
RI,2004,58.66632904
RI,2005,60.01671233
RI,2006,61.6409863
RI,2007,60.55539726
RI,2008,60.72442623
RI,2009,59.1300274
RI,2010,61.73369863
RI,2011,61.56980822
SC,1992,72.47255593
SC,1993,73.61963886
SC,1994,73.58361196
SC,1995,73.21632789
SC,1996,72.60981142
SC,1997,72.72080293
SC,1998,75.39909485
SC,1999,74.80075951
SC,2000,73.49077698
SC,2001,74.7591669
SC,2002,74.2067172
SC,2003,72.56861488
SC,2004,73.10095809
SC,2005,73.64778183
SC,2006,75.1064648
SC,2007,75.72031038
SC,2008,74.05964869
SC,2009,72.72549686
SC,2010,73.56245199
SC,2011,74.82143499
SD,1992,57.9826918
SD,1993,54.07884086
SD,1994,57.43479894
SD,1995,56.03496537
SD,1996,53.26063026
SD,1997,56.58650799
SD,1998,58.85620561
SD,1999,60.42955441
SD,2000,58.5205185
SD,2001,58.48743132
SD,2002,58.52282144
SD,2003,58.87586754
SD,2004,58.78775427
SD,2005,59.84815256
SD,2006,60.89417359
SD,2007,59.22491911
SD,2008,56.04086519
SD,2009,55.02341759
SD,2010,56.7326826
SD,2011,56.13003656
TN,1992,67.31684836
TN,1993,68.12582654
TN,1994,67.99046665
TN,1995,68.78125906
TN,1996,67.36411905
TN,1997,67.01357434
TN,1998,70.45029704
TN,1999,71.17739391
TN,2000,69.21870289
TN,2001,69.420295
TN,2002,69.08156872
TN,2003,67.97863433
TN,2004,68.85887987
TN,2005,69.60281148
TN,2006,70.23587764
TN,2007,71.79220074
TN,2008,68.88376318
TN,2009,67.7920612
TN,2010,69.04873972
TN,2011,69.77779018
TX,1992,76.6366441
TX,1993,76.6451117
TX,1994,78.12612697
TX,1995,77.93415951
TX,1996,78.65893001
TX,1997,76.03553742
TX,1998,79.68025959
TX,1999,79.94311077
TX,2000,79.07802449
TX,2001,77.71460233
TX,2002,77.09617304
TX,2003,77.93096122
TX,2004,76.73917427
TX,2005,78.68972215
TX,2006,80.3630529
TX,2007,76.83465513
TX,2008,78.99314678
TX,2009,78.6944471
TX,2010,77.4713883
TX,2011,81.09333047
UT,1992,84.05473366
UT,1993,89.31881454
UT,1994,60.28091588
UT,1995,59.28218627
UT,1996,59.81461257
UT,1997,58.31215765
UT,1998,58.12448807
UT,1999,59.86723286
UT,2000,60.09389764
UT,2001,60.19072281
UT,2002,59.50645835
UT,2003,60.56465749
UT,2004,58.16564691
UT,2005,58.94702683
UT,2006,58.99650932
UT,2007,60.07254409
UT,2008,57.82865723
UT,2009,57.88717434
UT,2010,57.40753171
UT,2011,56.88901451
VA,1992,65.60654885
